Title,Author,Publisher,ISBN,Price
The Littles,John Peterson,"Scholastic Paperbacks (January 1, 1993)",0590462253,$4.99
The Littles Take a Trip,John Peterson,"Scholastic Paperbacks; Illustrated edition (April 30, 2019)",1338309986,$4.99
The Littles and the Trash Tinies,John Peterson,"Scholastic Paperbacks; Reprint edition (April 30, 2019)",1338309978,$4.99
The Beast in Ms. Rooney's Room (The Kids of the Polk Street School),Patricia Reilly Giff,"Yearling; Reprint edition (August 1, 1984)",0440404851,$5.99
In the Dinosaur's Paw (The Kids of the Polk Street School #5),Patricia Reilly Giff,"Yearling; Illustrated edition (November 2, 1987)",0440441501,$6.99
B-E-S-T Friends (The New Kids of Polk Street School),Patricia Reilly Giff,"Yearling; Reissue edition (November 1, 1988)",0440400902,$5.99
Fish Face (The Kids of the Polk Street School),Patricia Reilly Giff,"Yearling; 1st edition (September 1, 1984)",0440425573,$5.82
"Lazy Lions, Lucky Lambs (The Kids of the Polk Street School)",Patricia Reilly Giff,"Yearling (February 1, 1985)",0440446406,$4.99
Pickle Puss (The Kids of the Polk Street School),Patricia Reilly Giff,"Yearling; Reprint edition (July 1, 1986)",0440468442,$6.99
Sunnyside Up (The Kids of the Polk Street School),Patricia Reilly Giff,"Yearling; Reissue edition (June 1, 1986)",0440484065,$5.99
Say Cheese (The Kids of the Polk Street School),Patricia Reilly Giff,"Yearling; 7th printing edition (May 1, 1985)",0440476399,$5.99
December Secrets (The Kids of the Polk Street School),Patricia Reilly Giff,"Yearling; Reprint edition (April 16, 1997)",0440417953,$5.99
A to Z Mystereis Series 26 Books Set The Complete Collection Dink Josh Ruth Rose.,,B0828FL8RZ,,$62.86
The Hardy Boys Secret Files Collection Books 1-5: Trouble at the Arcade; The Missing Mitt; Mystery Map; Hopping Mad; A Monster of a Mystery (Hardy Boys: The Secret Files),Franklin W. Dixon,"Aladdin; Boxed Set edition (August 5, 2014)",1481414739,$24.40
The Bicycle Thief (6) (Hardy Boys: The Secret Files),Franklin W. Dixon,"Aladdin; Original edition (August 9, 2011)",1416993967,$5.99
The Disappearing Dog (7) (Hardy Boys: The Secret Files),Franklin W. Dixon,"Aladdin; Illustrated edition (October 18, 2011)",1442423145,$5.99
The Great Coaster Caper (9) (Hardy Boys: The Secret Files),Franklin W. Dixon,"Aladdin; Original edition (August 7, 2012)",1442416696,$4.99
A Rockin' Mystery (10) (Hardy Boys: The Secret Files),Franklin W. Dixon,"Aladdin; Original ed. edition (October 16, 2012)",1442416718,$5.99
Captain Awesome to the Rescue! (1),Stan Kirby,1442435615,128 pages,$5.99
Captain Awesome vs. Nacho Cheese Man (2),Stan Kirby,"Little Simon; Illustrated edition (April 3, 2012)",1442435631,$5.99
Captain Awesome and the New Kid (3),Stan Kirby,"Little Simon; Illustrated edition (May 8, 2012)",1442441992,$5.99
Captain Awesome Takes a Dive (4),Stan Kirby,"Little Simon; Illustrated edition (June 5, 2012)",1442442026,$5.99
"Captain Awesome, Soccer Star (5)",Stan Kirby,"Little Simon; Illustrated edition (August 28, 2012)",1442443316,$5.99
Captain Awesome Saves the Winter Wonderland (6),Stan Kirby,"Little Simon; Illustrated edition (October 2, 2012)",1442443340,$5.99
"Captain Awesome vs. the Spooky, Scary House (8)",Stan Kirby,"Little Simon; Illustrated edition (August 6, 2013)",1442472545,$5.99
Captain Awesome Gets Crushed (9),Stan Kirby,1442482125,128 pages,$5.99
Captain Awesome and the Missing Elephants (10),Stan Kirby,"Little Simon; Illustrated edition (March 25, 2014)",1442489944,$5.99
Capital Mysteries Complete Set 1 - 14 (Stepping Stones Books),Ron Roy,"Random House House Books for Young Readers (January 1, 2009)",978-1608840670,$73.95
"Black Lagoon Book Set 1-10;Class Trip,Talent Show,Class Election,Science Fair,Halloween Party,Field Day,School Carnival,Valentine's Day,Christmas Party,Little League Team",Mike Thaler,0545922267,,$69.99
The Ultimate Stink-tastic Collection 10 Books Box Set by Megan McDonald,Megan McDonald,"Walker Books (January 1, 2020)",978-1529500066,$47.99
Arthur Locked in the Library!: An Arthur Chapter Book (Arthur Chapter Books),Marc Brown,"Little, Brown Books for Young Readers; Illustrated edition (March 5, 2012)",0316133620,$5.99
Arthur and the Mystery of the Stolen Bike (Marc Brown Arthur Chapter Books (Paperback)),Marc Brown,"Little, Brown Books for Young Readers; Illustrated edition (March 5, 2012)",0316133639,$5.29
Arthur and the Poetry Contest: An Arthur Chapter Book (Marc Brown Arthur Chapter Books (Paperback)),Marc Brown,"Little, Brown Books for Young Readers; Illustrated edition (December 1, 1999)",0316122955,$4.99
Arthur's Mystery Envelope: An Arthur Chapter Book (Marc Brown Arthur Chapter Books (Paperback)),Marc Brown,"Little, Brown Books for Young Readers (April 1, 1998)",0316115479,$5.99
Arthur and the Scare-Your-Pants-Off Club: An Arthur Chapter Book (Marc Brown Arthur Chapter Books (Paperback)),Marc Brown,"Little, Brown Books for Young Readers; First Edition (April 1, 1998)",0316115495,$5.99
Arthur and the Crunch Cereal Contest: An Arthur Chapter Book (Marc Brown Arthur Chapter Books (Paperback)),Marc Brown,"Little, Brown Books for Young Readers; 1st Edition Later Printing (April 1, 1998)",0316115533,$6.99
King Arthur ( A Marc Brown Arthur Chapter Book 13),Marc Brown,0316122416,64 pages,$8.99
Arthur and the Seventh Inning Stretcher (Arthur Good Sports #2),Stephen Krensky,"Little, Brown Books for Young Readers; Illustrated edition (April 1, 2001)",0316120944,$8.99
Arthur Locked in the Library!: An Arthur Chapter Book (Arthur Chapter Books),Marc Brown,"Little, Brown Books for Young Readers; Illustrated edition (March 5, 2012)",0316133620,$5.99
"Buster Baxter, Cat Saver: A Mark Brown Arthur Chapter Book 19 (Arthur Chapter Book Series)",Marc Brown,0316121118,64 pages,$7.98
"The Many Troubles Of Andy Russell (Andy Russell, 1)",David A. Adler,"Clarion Books; First edition (March 1, 2005)",0152054405,$7.99
Andy and Tamika (2) (Andy Russell),David A. Adler,"Sandpiper; First edition (March 1, 2005)",0152054464,$5.99
Parachuting Hamsters and Andy Russell,David A. Adler,"Paw Prints 2008-04-25 (April 25, 2008)",1435263413,$4.75
"It's A Baby, Andy Russell",David A. Adler,"Clarion Books; First edition (May 1, 2006)",0152056106,$9.95
Starring Grace (Puffin Chapters),Mary Hoffman,"Puffin Books; Reprint edition (December 31, 2001)",0142300225,$4.99
